COHORTE;PERÍODO ACADÉMICO CURSA;SEDE;CAMPUS;CARRERA;ÁREA;MODALIDAD;TIPO PROYECTOEDUCATIVO;NRO ALUMNOS
2019 - 2019;2020 - 2021;GUAYAQUIL;CENTENARIO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;52
2019 - 2019;2020 - 2021;GUAYAQUIL;CENTENARIO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;51
2019 - 2019;2020 - 2021;GUAYAQUIL;CENTENARIO;INGENIERÍA AUTOMOTRIZ;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;66
2019 - 2019;2020 - 2021;GUAYAQUIL;CENTENARIO;INGENIERÍA INDUSTRIAL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;132
2019 - 2019;2020 - 2021;GUAYAQUIL;CENTENARIO;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;102
2019 - 2019;2020 - 2021;GUAYAQUIL;CENTENARIO;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;36
2019 - 2019;2020 - 2021;GUAYAQUIL;MARIA AUXILIADORA;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;13
2019 - 2019;2020 - 2021;GUAYAQUIL;MARIA AUXILIADORA;PSICOLOGÍA;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;179
2019 - 2019;2020 - 2021;MATRIZ CUENCA;EL VECINO;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;17
2019 - 2019;2020 - 2021;MATRIZ CUENCA;EL VECINO;ANTROPOLOGÍA;HUMANIDADES;EN LINEA;NUEVA O REDISEÑO;6
2019 - 2019;2020 - 2021;MATRIZ CUENCA;EL VECINO;BIOTECNOLOGÍA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;14
2019 - 2019;2020 - 2021;MATRIZ CUENCA;EL VECINO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;5
2019 - 2019;2020 - 2021;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;13
2019 - 2019;2020 - 2021;MATRIZ CUENCA;EL VECINO;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;8
2019 - 2019;2020 - 2021;MATRIZ CUENCA;EL VECINO;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;3
2019 - 2019;2020 - 2021;MATRIZ CUENCA;EL VECINO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;22
2019 - 2019;2020 - 2021;MATRIZ CUENCA;EL VECINO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;7
2019 - 2019;2020 - 2021;MATRIZ CUENCA;EL VECINO;GESTIÓN DE RIESGOS Y DESASTRES;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;1
2019 - 2019;2020 - 2021;MATRIZ CUENCA;EL VECINO;INGENIERÍA AMBIENTAL;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;7
2019 - 2019;2020 - 2021;MATRIZ CUENCA;EL VECINO;INGENIERÍA AUTOMOTRIZ;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;34
2019 - 2019;2020 - 2021;MATRIZ CUENCA;EL VECINO;INGENIERÍA CIVIL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;15
2019 - 2019;2020 - 2021;MATRIZ CUENCA;EL VECINO;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;6
2019 - 2019;2020 - 2021;MATRIZ CUENCA;EL VECINO;MEDICINA VETERINARIA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;8
2019 - 2019;2020 - 2021;MATRIZ CUENCA;EL VECINO;PSICOLOGÍA;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;13
2019 - 2019;2020 - 2021;MATRIZ CUENCA;EL VECINO;TEOLOGÍA;RAZÓN Y FE;EN LINEA;NUEVA O REDISEÑO;9
2019 - 2019;2020 - 2021;QUITO;EL GIRÓN;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;51
2019 - 2019;2020 - 2021;QUITO;EL GIRÓN;AGROPECUARIA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;15
2019 - 2019;2020 - 2021;QUITO;EL GIRÓN;BIOTECNOLOGÍA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;52
2019 - 2019;2020 - 2021;QUITO;EL GIRÓN;COMUNICACIÓN;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;32
2019 - 2019;2020 - 2021;QUITO;EL GIRÓN;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;60
2019 - 2019;2020 - 2021;QUITO;EL GIRÓN;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;8
2019 - 2019;2020 - 2021;QUITO;EL GIRÓN;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;13
2019 - 2019;2020 - 2021;QUITO;EL GIRÓN;FILOSOFÍA;HUMANIDADES;PRESENCIAL;NUEVA O REDISEÑO;3
2019 - 2019;2020 - 2021;QUITO;EL GIRÓN;GERENCIA Y LIDERAZGO;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;10
2019 - 2019;2020 - 2021;QUITO;EL GIRÓN;INGENIERÍA INDUSTRIAL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;1
2019 - 2019;2020 - 2021;QUITO;EL GIRÓN;PSICOLOGÍA;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;136
2019 - 2019;2020 - 2021;QUITO;SUR;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;9
2019 - 2019;2020 - 2021;QUITO;SUR;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;26
2019 - 2019;2020 - 2021;QUITO;SUR;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;16
2019 - 2019;2020 - 2021;QUITO;SUR;INGENIERÍA AMBIENTAL;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;16
2019 - 2019;2020 - 2021;QUITO;SUR;INGENIERÍA AUTOMOTRIZ;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;28
2019 - 2019;2020 - 2021;QUITO;SUR;INGENIERÍA CIVIL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;85
2019 - 2019;2020 - 2021;QUITO;SUR;MECÁNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;21
2019 - 2019;2020 - 2021;QUITO;SUR;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;20
2019 - 2019;2020 - 2021;QUITO;SUR;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;12
2019 - 2019;2021 - 2021;GUAYAQUIL;CENTENARIO;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;150
2019 - 2019;2021 - 2021;GUAYAQUIL;CENTENARIO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;62
2019 - 2019;2021 - 2021;GUAYAQUIL;CENTENARIO;COMUNICACIÓN;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;30
2019 - 2019;2021 - 2021;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;102
2019 - 2019;2021 - 2021;GUAYAQUIL;CENTENARIO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;48
2019 - 2019;2021 - 2021;GUAYAQUIL;CENTENARIO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;49
2019 - 2019;2021 - 2021;GUAYAQUIL;CENTENARIO;INGENIERÍA AUTOMOTRIZ;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;61
2019 - 2019;2021 - 2021;GUAYAQUIL;CENTENARIO;INGENIERÍA INDUSTRIAL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;127
2019 - 2019;2021 - 2021;GUAYAQUIL;CENTENARIO;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;96
2019 - 2019;2021 - 2021;GUAYAQUIL;CENTENARIO;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;32
2019 - 2019;2021 - 2021;GUAYAQUIL;MARIA AUXILIADORA;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;10
2019 - 2019;2021 - 2021;GUAYAQUIL;MARIA AUXILIADORA;PSICOLOGÍA;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;169
2019 - 2019;2021 - 2021;MATRIZ CUENCA;EL VECINO;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;17
2019 - 2019;2021 - 2021;MATRIZ CUENCA;EL VECINO;ANTROPOLOGÍA;HUMANIDADES;EN LINEA;NUEVA O REDISEÑO;6
2019 - 2019;2021 - 2021;MATRIZ CUENCA;EL VECINO;BIOTECNOLOGÍA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;13
2019 - 2019;2021 - 2021;MATRIZ CUENCA;EL VECINO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;4
2019 - 2019;2021 - 2021;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;11
2019 - 2019;2021 - 2021;MATRIZ CUENCA;EL VECINO;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;7
2019 - 2019;2021 - 2021;MATRIZ CUENCA;EL VECINO;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;3
2019 - 2019;2021 - 2021;MATRIZ CUENCA;EL VECINO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;17
2019 - 2019;2021 - 2021;MATRIZ CUENCA;EL VECINO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;6
2019 - 2019;2021 - 2021;MATRIZ CUENCA;EL VECINO;GESTIÓN DE RIESGOS Y DESASTRES;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;1
2019 - 2019;2021 - 2021;MATRIZ CUENCA;EL VECINO;INGENIERÍA AMBIENTAL;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;5
2019 - 2019;2021 - 2021;MATRIZ CUENCA;EL VECINO;INGENIERÍA AUTOMOTRIZ;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;28
2019 - 2019;2021 - 2021;MATRIZ CUENCA;EL VECINO;INGENIERÍA CIVIL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;12
2019 - 2019;2021 - 2021;MATRIZ CUENCA;EL VECINO;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;6
2019 - 2019;2021 - 2021;MATRIZ CUENCA;EL VECINO;MEDICINA VETERINARIA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;8
2019 - 2019;2021 - 2021;MATRIZ CUENCA;EL VECINO;PSICOLOGÍA;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;13
2019 - 2019;2021 - 2021;MATRIZ CUENCA;EL VECINO;TEOLOGÍA;RAZÓN Y FE;EN LINEA;NUEVA O REDISEÑO;8
2019 - 2019;2021 - 2021;QUITO;EL GIRÓN;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;47
2019 - 2019;2021 - 2021;QUITO;EL GIRÓN;AGROPECUARIA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;15
2019 - 2019;2021 - 2021;QUITO;EL GIRÓN;BIOTECNOLOGÍA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;52
2019 - 2019;2021 - 2021;QUITO;EL GIRÓN;COMUNICACIÓN;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;27
2019 - 2019;2021 - 2021;QUITO;EL GIRÓN;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;55
2019 - 2019;2021 - 2021;QUITO;EL GIRÓN;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;8
2019 - 2019;2021 - 2021;QUITO;EL GIRÓN;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;13
2019 - 2019;2021 - 2021;QUITO;EL GIRÓN;FILOSOFÍA;HUMANIDADES;PRESENCIAL;NUEVA O REDISEÑO;3
2019 - 2019;2021 - 2021;QUITO;EL GIRÓN;GERENCIA Y LIDERAZGO;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;10
2019 - 2019;2021 - 2021;QUITO;EL GIRÓN;PSICOLOGÍA;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;134
2019 - 2019;2021 - 2021;QUITO;SUR;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;8
2019 - 2019;2021 - 2021;QUITO;SUR;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;26
2019 - 2019;2021 - 2021;QUITO;SUR;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;15
2019 - 2019;2021 - 2021;QUITO;SUR;INGENIERÍA AMBIENTAL;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;16
2019 - 2019;2021 - 2021;QUITO;SUR;INGENIERÍA AUTOMOTRIZ;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;27
2019 - 2019;2021 - 2021;QUITO;SUR;INGENIERÍA CIVIL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;84
2019 - 2019;2021 - 2021;QUITO;SUR;MECÁNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;20
2019 - 2019;2021 - 2021;QUITO;SUR;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;16
2019 - 2019;2021 - 2021;QUITO;SUR;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;11
2019 - 2019;2021 - 2022;GUAYAQUIL;CENTENARIO;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;137
2019 - 2019;2021 - 2022;GUAYAQUIL;CENTENARIO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;58
2019 - 2019;2021 - 2022;GUAYAQUIL;CENTENARIO;COMUNICACIÓN;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;30
2019 - 2019;2021 - 2022;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;101
2019 - 2019;2021 - 2022;GUAYAQUIL;CENTENARIO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;45
2019 - 2019;2021 - 2022;GUAYAQUIL;CENTENARIO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;45
2019 - 2019;2021 - 2022;GUAYAQUIL;CENTENARIO;INGENIERÍA AUTOMOTRIZ;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;55
2019 - 2019;2021 - 2022;GUAYAQUIL;CENTENARIO;INGENIERÍA INDUSTRIAL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;124
2019 - 2019;2021 - 2022;GUAYAQUIL;CENTENARIO;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;87
2019 - 2019;2021 - 2022;GUAYAQUIL;CENTENARIO;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;27
2019 - 2019;2021 - 2022;GUAYAQUIL;MARIA AUXILIADORA;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;9
2019 - 2019;2021 - 2022;GUAYAQUIL;MARIA AUXILIADORA;PSICOLOGÍA;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;158
2019 - 2019;2021 - 2022;MATRIZ CUENCA;EL VECINO;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;16
2019 - 2019;2021 - 2022;MATRIZ CUENCA;EL VECINO;ANTROPOLOGÍA;HUMANIDADES;EN LINEA;NUEVA O REDISEÑO;6
2019 - 2019;2021 - 2022;MATRIZ CUENCA;EL VECINO;BIOTECNOLOGÍA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;11
2019 - 2019;2021 - 2022;MATRIZ CUENCA;EL VECINO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;4
2019 - 2019;2021 - 2022;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;9
2019 - 2019;2021 - 2022;MATRIZ CUENCA;EL VECINO;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;7
2019 - 2019;2021 - 2022;MATRIZ CUENCA;EL VECINO;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;3
2019 - 2019;2021 - 2022;MATRIZ CUENCA;EL VECINO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;15
2019 - 2019;2021 - 2022;MATRIZ CUENCA;EL VECINO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;5
2019 - 2019;2021 - 2022;MATRIZ CUENCA;EL VECINO;GESTIÓN DE RIESGOS Y DESASTRES;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;1
2019 - 2019;2021 - 2022;MATRIZ CUENCA;EL VECINO;INGENIERÍA AMBIENTAL;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;5
2019 - 2019;2021 - 2022;MATRIZ CUENCA;EL VECINO;INGENIERÍA AUTOMOTRIZ;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;28
2019 - 2019;2021 - 2022;MATRIZ CUENCA;EL VECINO;INGENIERÍA CIVIL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;12
2019 - 2019;2021 - 2022;MATRIZ CUENCA;EL VECINO;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;5
2019 - 2019;2021 - 2022;MATRIZ CUENCA;EL VECINO;MEDICINA VETERINARIA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;8
2019 - 2019;2021 - 2022;MATRIZ CUENCA;EL VECINO;PSICOLOGÍA;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;13
2019 - 2019;2021 - 2022;MATRIZ CUENCA;EL VECINO;TEOLOGÍA;RAZÓN Y FE;EN LINEA;NUEVA O REDISEÑO;8
2019 - 2019;2021 - 2022;QUITO;EL GIRÓN;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;43
2019 - 2019;2021 - 2022;QUITO;EL GIRÓN;AGROPECUARIA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;15
2019 - 2019;2021 - 2022;QUITO;EL GIRÓN;BIOTECNOLOGÍA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;52
2019 - 2019;2021 - 2022;QUITO;EL GIRÓN;COMUNICACIÓN;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;29
2019 - 2019;2021 - 2022;QUITO;EL GIRÓN;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;56
2019 - 2019;2021 - 2022;QUITO;EL GIRÓN;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;8
2019 - 2019;2021 - 2022;QUITO;EL GIRÓN;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;13
2019 - 2019;2021 - 2022;QUITO;EL GIRÓN;FILOSOFÍA;HUMANIDADES;PRESENCIAL;NUEVA O REDISEÑO;3
2019 - 2019;2021 - 2022;QUITO;EL GIRÓN;GERENCIA Y LIDERAZGO;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;9
2019 - 2019;2021 - 2022;QUITO;EL GIRÓN;PSICOLOGÍA;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;132
2019 - 2019;2021 - 2022;QUITO;SUR;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;5
2019 - 2019;2021 - 2022;QUITO;SUR;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;26
2019 - 2019;2021 - 2022;QUITO;SUR;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;14
2019 - 2019;2021 - 2022;QUITO;SUR;INGENIERÍA AMBIENTAL;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;16
2019 - 2019;2021 - 2022;QUITO;SUR;INGENIERÍA AUTOMOTRIZ;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;25
2019 - 2019;2021 - 2022;QUITO;SUR;INGENIERÍA CIVIL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;85
2019 - 2019;2021 - 2022;QUITO;SUR;MECÁNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;19
2019 - 2019;2021 - 2022;QUITO;SUR;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;16
2019 - 2019;2021 - 2022;QUITO;SUR;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;10
2019 - 2020;2019 - 2020;GUAYAQUIL;CENTENARIO;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;146
2019 - 2020;2019 - 2020;GUAYAQUIL;CENTENARIO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;55
2019 - 2020;2019 - 2020;GUAYAQUIL;CENTENARIO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;1
2019 - 2020;2019 - 2020;GUAYAQUIL;CENTENARIO;COMUNICACIÓN;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;33
2019 - 2020;2019 - 2020;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;88
2019 - 2020;2019 - 2020;GUAYAQUIL;CENTENARIO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;46
2019 - 2020;2019 - 2020;GUAYAQUIL;CENTENARIO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;34
